date,Quota A,Quota B,Quota C,Quota D,Quota E,Quota Premium A,Quota Premium B,Quota Premium C,Quota Premium D,Quota Premium E,Total Bids Received A,Total Bids Received B,Total Bids Received C,Total Bids Received D,Total Bids Received E,Number of Successful Bids A,Number of Successful Bids B,Number of Successful Bids C,Number of Successful Bids D,Number of Successful Bids E,Resident Households Average Per Pax,Resident Households Median Per Pax,Resident Employed Households Average Per Pax,Resident Employed Households Median Per Pax,Resident Households Average,Resident Households Median1/,Resident Employed Households Average,Resident Employed Households Median1/,MAS Core Inflation Measure (Index),GDP At Current Market Prices,  Goods Producing Industries,    Manufacturing,    Construction,    Utilities,    Other Goods Industries,  Services Producing Industries,    Wholesale & Retail Trade,    Transportation & Storage,    Accommodation & Food Services,    Information & Communications,    Finance & Insurance,"    Real Estate, Professional Services And Administrative & Support Services",    Other Services Industries,  Ownership Of Dwellings,  Gross Value Added At Basic Prices,  Add: Taxes On Products,Household Net Worth,  Assets,    Financial Assets,      Currency & Deposits,      Shares & Securities,        Listed Shares,        Unlisted Shares,        Unit Trusts & Investment Funds,      Life Insurance,      Central Provident Fund (CPF),      Pension Funds,    Residential Property Assets,      Public Housing,      Private Housing,  Liabilities,    Mortgage Loans,      Financial Institutions,      Housing & Development Board (HDB),    Personal Loans,      Motor Vehicle,      Credit/Charge Cards,      Others,Close/Last,Personal Disposable Income (Million Dollars),Personal Saving (Million Dollars),Personal Saving Rate (Per Cent),Rail Length (Kilometres),  Mass Rapid Transit (MRT) (Kilometres),  Light Rail Transit (LRT) (Kilometres),MRT km Operated (Thousand Train-Kilometres),LRT km Operated (Thousand Car-Kilometres),Average Daily Ridership - MRT (Thousand Passenger-Trips),Average Daily Ridership - LRT (Thousand Passenger-Trips),Average Daily Ridership - Bus (Thousand Passenger-Trips),Average Daily Trip - Point-To-Point (P2P) Transport (Taxis And Private Hire Cars) (Thousand Daily-Trips),Bus,LRT,MRT
2002-04-01,1110,558,506,839,682,37201,39509,23001,540,41001,2484,1119,795,1319,1797,1092,551,506,835,631,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,74.72,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,542420.7,695145.6,346101.9,121129.6,73060.7,20825.6,40526.5,11708.6,44546.7,94822.0,12542.9,349043.7,189650.4,159393.3,152724.9,110506.7,47026.5,63480.2,42218.2,14109.2,3034.7,25074.4,,20469.0,1353.8,6.6,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
2002-04-15,1149,553,506,838,754,36000,42101,24001,409,42043,1890,1104,813,1084,1407,1148,553,490,837,753,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,74.72,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,542420.7,695145.6,346101.9,121129.6,73060.7,20825.6,40526.5,11708.6,44546.7,94822.0,12542.9,349043.7,189650.4,159393.3,152724.9,110506.7,47026.5,63480.2,42218.2,14109.2,3034.7,25074.4,,20469.0,1353.8,6.6,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
2002-05-01,1128,560,506,836,960,35000,40001,24801,402,40001,1705,1043,900,976,1880,1127,518,472,793,930,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,74.935,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,542420.7,695145.6,346101.9,121129.6,73060.7,20825.6,40526.5,11708.6,44546.7,94822.0,12542.9,349043.7,189650.4,159393.3,152724.9,110506.7,47026.5,63480.2,42218.2,14109.2,3034.7,25074.4,,20469.0,1353.8,6.6,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
2002-05-15,1111,552,522,833,910,33401,38001,24002,283,38399,1320,894,815,1044,1835,1080,541,508,831,877,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,74.935,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,542420.7,695145.6,346101.9,121129.6,73060.7,20825.6,40526.5,11708.6,44546.7,94822.0,12542.9,349043.7,189650.4,159393.3,152724.9,110506.7,47026.5,63480.2,42218.2,14109.2,3034.7,25074.4,,20469.0,1353.8,6.6,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
2002-06-01,1111,595,540,875,939,33009,33001,22804,109,34397,1382,885,800,1010,1777,1105,569,540,866,938,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,74.938,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,542420.7,695145.6,346101.9,121129.6,73060.7,20825.6,40526.5,11708.6,44546.7,94822.0,12542.9,349043.7,189650.4,159393.3,152724.9,110506.7,47026.5,63480.2,42218.2,14109.2,3034.7,25074.4,,20469.0,1353.8,6.6,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
2002-06-15,1141,563,519,834,942,30281,32499,20434,96,32511,1382,888,727,995,1825,1133,554,519,833,940,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,74.938,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,542420.7,695145.6,346101.9,121129.6,73060.7,20825.6,40526.5,11708.6,44546.7,94822.0,12542.9,349043.7,189650.4,159393.3,152724.9,110506.7,47026.5,63480.2,42218.2,14109.2,3034.7,25074.4,,20469.0,1353.8,6.6,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
2002-07-01,1116,579,506,841,910,31407,31583,17501,57,32356,1890,946,749,1035,1549,1108,577,504,835,903,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,75.036,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,555078.4,708778.7,349804.6,120680.9,75510.7,22668.0,40566.8,12275.9,45313.3,95674.9,12624.7,358974.1,197766.9,161207.2,153700.3,111029.2,47060.9,63968.3,42671.1,14248.3,3096.6,25326.2,,21446.2,2398.4,11.2,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
2002-07-15,1118,561,505,833,910,30797,30008,16889,101,30501,1647,850,682,1059,1242,1118,553,501,822,904,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,75.036,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,555078.4,708778.7,349804.6,120680.9,75510.7,22668.0,40566.8,12275.9,45313.3,95674.9,12624.7,358974.1,197766.9,161207.2,153700.3,111029.2,47060.9,63968.3,42671.1,14248.3,3096.6,25326.2,,21446.2,2398.4,11.2,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
2002-08-01,1118,555,508,838,916,30289,31889,16501,116,31899,1640,1149,719,920,1370,1115,555,504,836,899,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,74.973,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,555078.4,708778.7,349804.6,120680.9,75510.7,22668.0,40566.8,12275.9,45313.3,95674.9,12624.7,358974.1,197766.9,161207.2,153700.3,111029.2,47060.9,63968.3,42671.1,14248.3,3096.6,25326.2,,21446.2,2398.4,11.2,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
2002-08-15,1110,560,509,843,914,31289,32001,16409,81,32001,1480,873,702,918,1386,1100,543,509,837,886,1713.0,1189.0,1883.0,1320.0,5667.0,4096.0,6229.0,4590.0,74.973,165698.1,51062.7,40989.8,6685.5,3269.7,117.7,100299.7,22246.0,14135.5,3694.8,6627.3,16690.6,18101.3,18804.2,5708.9,157071.3,8626.8,555078.4,708778.7,349804.6,120680.9,75510.7,22668.0,40566.8,12275.9,45313.3,95674.9,12624.7,358974.1,197766.9,161207.2,153700.3,111029.2,47060.9,63968.3,42671.1,14248.3,3096.6,25326.2,,21446.2,2398.4,11.2,97.2,89.4,7.8,18025.0,3303.0,1321.0,69.0,2779.0,755.0,3197000.0,39000.0,1081000.0
